Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","138","Mexico","5419","Yield","83","Sorghum","2018","2018","hg/ha","34840","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","83","Sorghum","2018","2018","tonnes","4531097","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","236","Soybeans","2018","2018","ha","190628","","Official data"
"QC","Crops","138","Mexico","5419","Yield","236","Soybeans","2018","2018","hg/ha","16997","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","236","Soybeans","2018","2018","tonnes","324011","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","723","Spices nes","2018","2018","ha","578","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","723","Spices nes","2018","2018","hg/ha","69492","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","723","Spices nes","2018","2018","tonnes","4014","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","373","Spinach","2018","2018","ha","2436","","Official data"
"QC","Crops","138","Mexico","5419","Yield","373","Spinach","2018","2018","hg/ha","183901","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","373","Spinach","2018","2018","tonnes","44803","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","544","Strawberries","2018","2018","ha","13652","","Official data"
"QC","Crops","138","Mexico","5419","Yield","544","Strawberries","2018","2018","hg/ha","478781","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","544","Strawberries","2018","2018","tonnes","653639","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","423","String beans","2018","2018","ha","12506","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","423","String beans","2018","2018","hg/ha","102373","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","423","String beans","2018","2018","tonnes","128030","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","157","Sugar beet","2018","2018","ha","47","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","157","Sugar beet","2018","2018","hg/ha","185289","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","157","Sugar beet","2018","2018","tonnes","878","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5312","Area harvested","156","Sugar cane","2018","2018","ha","785905","","Official data"
"QC","Crops","138","Mexico","5419","Yield","156","Sugar cane","2018","2018","hg/ha","723262","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","156","Sugar cane","2018","2018","tonnes","56841523","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","267","Sunflower seed","2018","2018","ha","6826","","Official data"
"QC","Crops","138","Mexico","5419","Yield","267","Sunflower seed","2018","2018","hg/ha","14285","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","267","Sunflower seed","2018","2018","tonnes","9751","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","122","Sweet potatoes","2018","2018","ha","3334","","Official data"
"QC","Crops","138","Mexico","5419","Yield","122","Sweet potatoes","2018","2018","hg/ha","202440","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","122","Sweet potatoes","2018","2018","tonnes","67486","","Official data"
